#{"t_start": 1776916360.9957356, "env_id": "None"}
r,l,t
100.0,1,3559.339562
-18.629999,23,3584.589839
100.0,1,3586.845253
72.65612,23,3612.180962
100.0,1,3614.429495
91.340936,23,3639.820415
100.0,1,3642.06932
88.869782,23,3667.371399
100.0,1,3669.620447
70.200482,23,3695.010492
100.0,1,3697.260015
52.237393,23,3722.512503
100.0,1,3724.763205
61.50538,23,3750.105953
100.0,1,3752.349305
47.955948,23,3777.741202
100.0,1,3779.989779
-10.029325,23,3805.33989
100.0,1,3807.593054
54.77598,23,3832.940113
100.0,1,3835.233037
16.98256,23,3861.07932
100.0,1,3863.330225
65.075244,23,3888.67959
100.0,1,3890.929993
60.301552,23,3916.269444
100.0,1,3918.519925
-2.53906,23,3943.910293
100.0,1,3946.163514
50.219518,23,3971.549498
100.0,1,3973.80073
47.345631,23,3999.099818
100.0,1,4001.350115
53.976486,23,4026.691044
100.0,1,4028.939737
78.650816,23,4054.330057
100.0,1,4056.580123
64.525856,23,4081.930023
100.0,1,4084.180593
46.555365,23,4109.570232
-100.0,1,4111.820786
83.714376,23,4137.210976
100.0,1,4139.561579
73.653453,23,4165.359938
100.0,1,4167.564809
71.406525,23,4192.910602
100.0,1,4195.201728
70.074376,23,4220.549009
100.0,1,4222.799463
82.200024,23,4248.100816
100.0,1,4250.349873
77.686011,23,4275.740408
100.0,1,4277.991639
-11.877359,23,4303.331977
100.0,1,4305.53325
54.309846,23,4330.879821
100.0,1,4333.13223
65.307839,23,4358.519883
100.0,1,4360.873054
11.519557,23,4386.220999
100.0,1,4388.469129
42.335694,23,4413.721378
100.0,1,4415.969995
12.054075,23,4441.859547
100.0,1,4444.110044
15.195929,23,4469.451386
100.0,1,4471.699462
-100.0,1,4473.950726
100.0,1,4476.203495
58.263204,23,4501.550315
100.0,1,4503.800237
57.525515,23,4529.153558
100.0,1,4531.355594
78.384865,23,4556.739405
78.852308,23,4581.995912
100.0,1,4584.283726
72.547014,23,4609.632192
100.0,1,4611.879142
71.515699,23,4637.240032
100.0,1,4639.494597
43.775277,23,4664.879472
100.0,1,4667.130192
83.497651,23,4692.480523
100.0,1,4694.731058
24.253532,23,4720.120469
100.0,1,4722.324381
101.394764,23,4748.119481
100.0,1,4750.370254
69.0246,23,4775.719427
100.0,1,4777.924394
78.50622,23,4803.260495
100.0,1,4805.509144
68.453415,23,4830.811507
100.0,1,4833.009282
35.342597,23,4858.359225
100.0,1,4860.565446
78.400416,23,4885.852499
100.0,1,4888.101016
58.003005,23,4913.400677
100.0,1,4915.699269
54.380138,23,4940.951749
100.0,1,4943.153092
49.519074,23,4968.49969
100.0,1,4970.749267
-100.0,1,4973.000448
100.0,1,4975.299479
67.693274,23,5000.599491
100.0,1,5002.857488
45.721864,23,5028.200004
100.0,1,5030.449378
-100.0,1,5032.699557
100.0,1,5034.98984
51.605965,23,5060.942539
100.0,1,5063.191256
-9.933162,23,5088.491081
100.0,1,5090.739675
45.3717,23,5116.090009
100.0,1,5118.339089
66.071507,23,5143.745053
100.0,1,5145.993731
57.412519,23,5171.38003
100.0,1,5173.630105
69.566437,23,5199.030069
100.0,1,5201.28188
68.461711,23,5226.629573
100.0,1,5228.880987
35.357124,23,5254.2705
100.0,1,5256.520598
67.647575,23,5281.869721
100.0,1,5284.073858
88.450437,23,5309.32032
100.0,1,5311.574508
-18.629999,23,5337.425371
100.0,1,5339.669703
66.166529,23,5365.019657
100.0,1,5367.314983
76.110613,23,5392.610415
100.0,1,5394.862128
42.165766,23,5420.259751
100.0,1,5422.509462
84.827303,23,5447.862277
100.0,1,5450.111038
68.217955,23,5475.49961
100.0,1,5477.749567
57.252119,23,5503.149733
100.0,1,5505.399819
48.346675,23,5530.749666
100.0,1,5532.952245
-100.0,1,5535.199666
100.0,1,5537.450069
38.10899,23,5562.852004
100.0,1,5565.099884
48.697161,23,5590.503999
100.0,1,5592.752013
40.491147,23,5618.091268
100.0,1,5620.342662
71.183653,23,5646.190221
100.0,1,5648.439301
58.22374,23,5673.841926
100.0,1,5676.090813
-6.461808,23,5701.391858
100.0,1,5703.639629
-100.0,1,5705.889926
100.0,1,5708.140181
101.727208,23,5733.48967
100.0,1,5735.74371
-12.094147,23,5761.069721
100.0,1,5763.420238
60.167323,23,5788.822276
100.0,1,5791.068986
178.679471,23,5816.410927
88.42603,23,5841.659838
100.0,1,5843.909984
-100.0,1,5846.160801
100.0,1,5848.419867
-2.671289,23,5873.770148
100.0,1,5876.02011
59.654359,23,5901.219418
100.0,1,5903.471442
59.008669,23,5929.359648
100.0,1,5931.616931
58.659899,23,5956.960764
100.0,1,5959.210065
77.61405,23,5984.559633
100.0,1,5986.814898
81.799272,23,6012.159751
100.0,1,6014.410053
45.006467,23,6039.699939
100.0,1,6041.949401
35.665709,23,6067.349835
100.0,1,6069.601182
75.061629,23,6095.002249
100.0,1,6097.250472
51.676226,23,6122.551739
100.0,1,6124.80011
