episode 0/200 | reward = 231.999 | steps = 48 | goal_reached
episode 1/200 | reward = -69.280 | steps = 96 | timeout
episode 2/200 | reward = -0.342 | steps = 1 | stuck
episode 3/200 | reward = 178.474 | steps = 24 | goal_reached
episode 4/200 | reward = 166.841 | steps = 35 | goal_reached
episode 5/200 | reward = -77.760 | steps = 96 | timeout
episode 6/200 | reward = -0.135 | steps = 1 | stuck
episode 7/200 | reward = 182.264 | steps = 28 | goal_reached
episode 8/200 | reward = 243.845 | steps = 38 | goal_reached
episode 9/200 | reward = 166.077 | steps = 36 | goal_reached
episode 10/200 | reward = 236.734 | steps = 42 | goal_reached
episode 11/200 | reward = 164.510 | steps = 19 | goal_reached
episode 12/200 | reward = 261.475 | steps = 41 | goal_reached
episode 13/200 | reward = 172.407 | steps = 27 | goal_reached
episode 14/200 | reward = 194.092 | steps = 41 | goal_reached
episode 15/200 | reward = 242.755 | steps = 59 | goal_reached
episode 16/200 | reward = 168.187 | steps = 25 | goal_reached
episode 17/200 | reward = 199.595 | steps = 39 | goal_reached
episode 18/200 | reward = 198.143 | steps = 39 | goal_reached
episode 19/200 | reward = 215.122 | steps = 29 | goal_reached
episode 20/200 | reward = 189.722 | steps = 33 | goal_reached
episode 21/200 | reward = 231.871 | steps = 48 | goal_reached
episode 22/200 | reward = -100.000 | steps = 1 | collision
episode 23/200 | reward = -0.615 | steps = 1 | stuck
episode 24/200 | reward = 212.240 | steps = 34 | goal_reached
episode 25/200 | reward = 178.007 | steps = 25 | goal_reached
episode 26/200 | reward = 194.748 | steps = 34 | goal_reached
episode 27/200 | reward = 221.939 | steps = 53 | goal_reached
episode 28/200 | reward = -69.313 | steps = 96 | timeout
episode 29/200 | reward = -0.008 | steps = 1 | stuck
episode 30/200 | reward = 183.685 | steps = 36 | goal_reached
episode 31/200 | reward = 256.869 | steps = 47 | goal_reached
episode 32/200 | reward = 199.651 | steps = 39 | goal_reached
episode 33/200 | reward = 264.569 | steps = 62 | goal_reached
episode 34/200 | reward = 278.090 | steps = 61 | goal_reached
episode 35/200 | reward = 182.424 | steps = 28 | goal_reached
episode 36/200 | reward = 233.506 | steps = 47 | goal_reached
episode 37/200 | reward = 221.859 | steps = 47 | goal_reached
episode 38/200 | reward = 231.872 | steps = 49 | goal_reached
episode 39/200 | reward = 194.054 | steps = 41 | goal_reached
episode 40/200 | reward = 189.955 | steps = 33 | goal_reached
episode 41/200 | reward = 239.401 | steps = 58 | goal_reached
episode 42/200 | reward = 166.559 | steps = 36 | goal_reached
episode 43/200 | reward = 242.707 | steps = 54 | goal_reached
episode 44/200 | reward = 252.314 | steps = 46 | goal_reached
episode 45/200 | reward = 253.181 | steps = 51 | goal_reached
episode 46/200 | reward = 178.244 | steps = 25 | goal_reached
episode 47/200 | reward = 231.972 | steps = 48 | goal_reached
episode 48/200 | reward = 238.714 | steps = 58 | goal_reached
episode 49/200 | reward = 210.729 | steps = 34 | goal_reached
episode 50/200 | reward = 222.449 | steps = 51 | goal_reached
episode 51/200 | reward = 232.271 | steps = 47 | goal_reached
episode 52/200 | reward = 218.205 | steps = 55 | goal_reached
episode 53/200 | reward = 198.688 | steps = 30 | goal_reached
episode 54/200 | reward = 248.513 | steps = 48 | goal_reached
episode 55/200 | reward = 193.095 | steps = 60 | goal_reached
episode 56/200 | reward = 217.963 | steps = 56 | goal_reached
episode 57/200 | reward = 178.276 | steps = 25 | goal_reached
episode 58/200 | reward = 231.591 | steps = 40 | goal_reached
episode 59/200 | reward = 206.305 | steps = 37 | goal_reached
episode 60/200 | reward = 168.131 | steps = 25 | goal_reached
episode 61/200 | reward = 222.741 | steps = 51 | goal_reached
episode 62/200 | reward = 217.345 | steps = 57 | goal_reached
episode 63/200 | reward = 172.274 | steps = 27 | goal_reached
episode 64/200 | reward = -69.136 | steps = 96 | timeout
episode 65/200 | reward = -0.627 | steps = 1 | stuck
episode 66/200 | reward = 217.523 | steps = 56 | goal_reached
episode 67/200 | reward = 168.323 | steps = 25 | goal_reached
episode 68/200 | reward = 243.788 | steps = 38 | goal_reached
episode 69/200 | reward = 256.840 | steps = 46 | goal_reached
episode 70/200 | reward = 175.690 | steps = 36 | goal_reached
episode 71/200 | reward = 178.634 | steps = 24 | goal_reached
episode 72/200 | reward = 217.879 | steps = 56 | goal_reached
episode 73/200 | reward = 249.084 | steps = 47 | goal_reached
episode 74/200 | reward = 172.373 | steps = 27 | goal_reached
episode 75/200 | reward = 278.831 | steps = 61 | goal_reached
episode 76/200 | reward = 234.267 | steps = 48 | goal_reached
episode 77/200 | reward = 193.087 | steps = 61 | goal_reached
episode 78/200 | reward = -77.760 | steps = 96 | timeout
episode 79/200 | reward = -0.660 | steps = 1 | stuck
episode 80/200 | reward = 308.703 | steps = 63 | goal_reached
episode 81/200 | reward = 233.213 | steps = 48 | goal_reached
episode 82/200 | reward = 168.450 | steps = 25 | goal_reached
episode 83/200 | reward = 231.910 | steps = 48 | goal_reached
episode 84/200 | reward = 222.579 | steps = 51 | goal_reached
episode 85/200 | reward = 243.938 | steps = 38 | goal_reached
episode 86/200 | reward = 243.891 | steps = 38 | goal_reached
episode 87/200 | reward = 178.590 | steps = 24 | goal_reached
episode 88/200 | reward = 236.842 | steps = 42 | goal_reached
episode 89/200 | reward = 218.876 | steps = 44 | goal_reached
episode 90/200 | reward = 193.284 | steps = 60 | goal_reached
episode 91/200 | reward = 262.899 | steps = 52 | goal_reached
episode 92/200 | reward = 231.928 | steps = 48 | goal_reached
episode 93/200 | reward = 256.949 | steps = 46 | goal_reached
episode 94/200 | reward = 309.740 | steps = 70 | goal_reached
episode 95/200 | reward = 216.114 | steps = 46 | goal_reached
episode 96/200 | reward = -70.595 | steps = 95 | timeout
episode 97/200 | reward = -0.509 | steps = 1 | stuck
episode 98/200 | reward = 242.644 | steps = 60 | goal_reached
episode 99/200 | reward = 175.805 | steps = 36 | goal_reached
episode 100/200 | reward = 221.663 | steps = 47 | goal_reached
episode 101/200 | reward = 183.857 | steps = 37 | goal_reached
episode 102/200 | reward = 232.847 | steps = 48 | goal_reached
episode 103/200 | reward = 243.031 | steps = 53 | goal_reached
episode 104/200 | reward = 199.006 | steps = 41 | goal_reached
episode 105/200 | reward = 256.839 | steps = 46 | goal_reached
episode 106/200 | reward = 218.900 | steps = 44 | goal_reached
episode 107/200 | reward = 205.150 | steps = 31 | goal_reached
episode 108/200 | reward = 309.699 | steps = 70 | goal_reached
episode 109/200 | reward = 233.232 | steps = 48 | goal_reached
episode 110/200 | reward = 181.767 | steps = 29 | goal_reached
episode 111/200 | reward = 212.468 | steps = 34 | goal_reached
episode 112/200 | reward = 309.633 | steps = 63 | goal_reached
episode 113/200 | reward = -77.760 | steps = 96 | timeout
episode 114/200 | reward = -0.735 | steps = 1 | stuck
episode 115/200 | reward = 222.500 | steps = 51 | goal_reached
episode 116/200 | reward = 232.570 | steps = 47 | goal_reached
episode 117/200 | reward = 215.120 | steps = 45 | goal_reached
episode 118/200 | reward = -69.553 | steps = 96 | timeout
episode 119/200 | reward = 0.108 | steps = 1 | stuck
episode 120/200 | reward = 216.525 | steps = 46 | goal_reached
episode 121/200 | reward = 236.751 | steps = 42 | goal_reached
episode 122/200 | reward = 220.485 | steps = 56 | goal_reached
episode 123/200 | reward = 264.684 | steps = 62 | goal_reached
episode 124/200 | reward = 252.947 | steps = 52 | goal_reached
episode 125/200 | reward = 221.048 | steps = 48 | goal_reached
episode 126/200 | reward = 277.871 | steps = 56 | goal_reached
episode 127/200 | reward = 231.362 | steps = 41 | goal_reached
episode 128/200 | reward = 168.590 | steps = 24 | goal_reached
episode 129/200 | reward = 211.417 | steps = 43 | goal_reached
episode 130/200 | reward = 198.680 | steps = 30 | goal_reached
episode 131/200 | reward = 231.880 | steps = 40 | goal_reached
episode 132/200 | reward = 204.933 | steps = 32 | goal_reached
episode 133/200 | reward = 217.047 | steps = 29 | goal_reached
episode 134/200 | reward = 193.707 | steps = 42 | goal_reached
episode 135/200 | reward = 189.290 | steps = 34 | goal_reached
episode 136/200 | reward = 243.152 | steps = 59 | goal_reached
episode 137/200 | reward = 232.118 | steps = 48 | goal_reached
