episode 107/200 | reward = 204.775 | steps = 33 | goal_reached
episode 108/200 | reward = 308.667 | steps = 74 | goal_reached
episode 109/200 | reward = 232.675 | steps = 51 | goal_reached
episode 110/200 | reward = 182.079 | steps = 30 | goal_reached
episode 111/200 | reward = 209.614 | steps = 36 | goal_reached
episode 112/200 | reward = 309.418 | steps = 68 | goal_reached
episode 113/200 | reward = -76.950 | steps = 95 | timeout
episode 114/200 | reward = -0.735 | steps = 1 | stuck
episode 115/200 | reward = 223.147 | steps = 54 | goal_reached
episode 116/200 | reward = 231.465 | steps = 51 | goal_reached
episode 117/200 | reward = 216.514 | steps = 48 | goal_reached
episode 118/200 | reward = -69.548 | steps = 96 | timeout
episode 119/200 | reward = -0.010 | steps = 1 | stuck
episode 120/200 | reward = 215.476 | steps = 49 | goal_reached
episode 121/200 | reward = 236.472 | steps = 45 | goal_reached
episode 122/200 | reward = 222.351 | steps = 54 | goal_reached
episode 123/200 | reward = 263.190 | steps = 66 | goal_reached
episode 124/200 | reward = 252.285 | steps = 55 | goal_reached
episode 125/200 | reward = 219.586 | steps = 51 | goal_reached
episode 126/200 | reward = 276.655 | steps = 60 | goal_reached
episode 127/200 | reward = 231.027 | steps = 43 | goal_reached
episode 128/200 | reward = 167.737 | steps = 27 | goal_reached
episode 129/200 | reward = 212.175 | steps = 43 | goal_reached
episode 130/200 | reward = 195.530 | steps = 36 | goal_reached
episode 131/200 | reward = 231.572 | steps = 42 | goal_reached
episode 132/200 | reward = 204.793 | steps = 33 | goal_reached
episode 133/200 | reward = 216.300 | steps = 31 | goal_reached
episode 134/200 | reward = 193.736 | steps = 44 | goal_reached
episode 135/200 | reward = 188.943 | steps = 35 | goal_reached
episode 136/200 | reward = 242.245 | steps = 63 | goal_reached
episode 137/200 | reward = 231.101 | steps = 51 | goal_reached
episode 138/200 | reward = 168.225 | steps = 26 | goal_reached
episode 139/200 | reward = 177.493 | steps = 26 | goal_reached
episode 140/200 | reward = 278.097 | steps = 65 | goal_reached
episode 141/200 | reward = 164.143 | steps = 20 | goal_reached
episode 142/200 | reward = 217.039 | steps = 55 | goal_reached
episode 143/200 | reward = 236.044 | steps = 45 | goal_reached
episode 144/200 | reward = 219.603 | steps = 51 | goal_reached
episode 145/200 | reward = 196.955 | steps = 41 | goal_reached
episode 146/200 | reward = 228.201 | steps = 57 | goal_reached
episode 147/200 | reward = 196.777 | steps = 41 | goal_reached
episode 148/200 | reward = 251.507 | steps = 49 | goal_reached
episode 149/200 | reward = 197.549 | steps = 32 | goal_reached
episode 150/200 | reward = 248.042 | steps = 51 | goal_reached
episode 151/200 | reward = 241.604 | steps = 65 | goal_reached
episode 152/200 | reward = 204.963 | steps = 33 | goal_reached
episode 153/200 | reward = 231.267 | steps = 43 | goal_reached
episode 154/200 | reward = 231.411 | steps = 51 | goal_reached
episode 155/200 | reward = 251.709 | steps = 49 | goal_reached
episode 156/200 | reward = 263.566 | steps = 66 | goal_reached
episode 157/200 | reward = 197.327 | steps = 41 | goal_reached
episode 158/200 | reward = 177.578 | steps = 26 | goal_reached
episode 159/200 | reward = 231.562 | steps = 52 | goal_reached
episode 160/200 | reward = 194.040 | steps = 36 | goal_reached
episode 161/200 | reward = 277.166 | steps = 65 | goal_reached
episode 162/200 | reward = 177.649 | steps = 26 | goal_reached
episode 163/200 | reward = 218.440 | steps = 47 | goal_reached
episode 164/200 | reward = 241.532 | steps = 57 | goal_reached
episode 165/200 | reward = 211.533 | steps = 44 | goal_reached
