episode 0/200 | reward = 232.195 | steps = 43 | goal_reached
episode 1/200 | reward = -68.523 | steps = 95 | timeout
episode 2/200 | reward = -0.342 | steps = 1 | stuck
episode 3/200 | reward = 178.933 | steps = 23 | goal_reached
episode 4/200 | reward = 166.620 | steps = 34 | goal_reached
episode 5/200 | reward = -76.950 | steps = 95 | timeout
episode 6/200 | reward = -0.135 | steps = 1 | stuck
episode 7/200 | reward = 182.013 | steps = 28 | goal_reached
episode 8/200 | reward = 243.923 | steps = 33 | goal_reached
episode 9/200 | reward = 166.308 | steps = 35 | goal_reached
episode 10/200 | reward = 237.346 | steps = 39 | goal_reached
episode 11/200 | reward = 163.885 | steps = 19 | goal_reached
episode 12/200 | reward = 261.611 | steps = 36 | goal_reached
episode 13/200 | reward = 172.060 | steps = 27 | goal_reached
episode 14/200 | reward = 194.641 | steps = 37 | goal_reached
episode 15/200 | reward = 243.659 | steps = 56 | goal_reached
episode 16/200 | reward = 168.283 | steps = 24 | goal_reached
episode 17/200 | reward = 200.646 | steps = 36 | goal_reached
episode 18/200 | reward = 198.263 | steps = 38 | goal_reached
episode 19/200 | reward = 216.980 | steps = 25 | goal_reached
episode 20/200 | reward = 189.724 | steps = 33 | goal_reached
episode 21/200 | reward = 232.474 | steps = 43 | goal_reached
episode 22/200 | reward = 232.205 | steps = 46 | goal_reached
episode 23/200 | reward = 176.289 | steps = 33 | goal_reached
episode 24/200 | reward = 212.272 | steps = 32 | goal_reached
episode 25/200 | reward = 178.546 | steps = 23 | goal_reached
episode 26/200 | reward = 194.766 | steps = 33 | goal_reached
episode 27/200 | reward = 223.461 | steps = 45 | goal_reached
episode 28/200 | reward = -68.523 | steps = 95 | timeout
episode 29/200 | reward = -0.005 | steps = 1 | stuck
episode 30/200 | reward = 184.719 | steps = 35 | goal_reached
episode 31/200 | reward = 257.069 | steps = 42 | goal_reached
episode 32/200 | reward = 199.853 | steps = 37 | goal_reached
episode 33/200 | reward = 265.455 | steps = 59 | goal_reached
episode 34/200 | reward = 277.561 | steps = 60 | goal_reached
episode 35/200 | reward = 182.536 | steps = 28 | goal_reached
episode 36/200 | reward = 234.687 | steps = 42 | goal_reached
episode 37/200 | reward = 221.604 | steps = 47 | goal_reached
episode 38/200 | reward = 232.153 | steps = 44 | goal_reached
episode 39/200 | reward = 194.162 | steps = 38 | goal_reached
episode 40/200 | reward = 189.973 | steps = 32 | goal_reached
episode 41/200 | reward = 239.176 | steps = 52 | goal_reached
episode 42/200 | reward = 166.556 | steps = 34 | goal_reached
episode 43/200 | reward = 243.898 | steps = 49 | goal_reached
episode 44/200 | reward = 252.988 | steps = 42 | goal_reached
episode 45/200 | reward = 252.076 | steps = 49 | goal_reached
episode 46/200 | reward = 178.138 | steps = 24 | goal_reached
episode 47/200 | reward = 232.315 | steps = 43 | goal_reached
episode 48/200 | reward = 239.986 | steps = 51 | goal_reached
episode 49/200 | reward = 212.742 | steps = 32 | goal_reached
episode 50/200 | reward = 223.242 | steps = 45 | goal_reached
episode 51/200 | reward = 232.598 | steps = 43 | goal_reached
episode 52/200 | reward = 218.597 | steps = 52 | goal_reached
episode 53/200 | reward = 198.871 | steps = 29 | goal_reached
episode 54/200 | reward = 249.418 | steps = 45 | goal_reached
episode 55/200 | reward = 195.725 | steps = 53 | goal_reached
episode 56/200 | reward = 218.567 | steps = 52 | goal_reached
episode 57/200 | reward = 178.881 | steps = 23 | goal_reached
episode 58/200 | reward = 232.832 | steps = 36 | goal_reached
episode 59/200 | reward = 203.682 | steps = 39 | goal_reached
episode 60/200 | reward = 168.751 | steps = 23 | goal_reached
episode 61/200 | reward = 223.328 | steps = 45 | goal_reached
episode 62/200 | reward = 218.115 | steps = 53 | goal_reached
episode 63/200 | reward = 172.667 | steps = 26 | goal_reached
episode 64/200 | reward = -68.602 | steps = 95 | timeout
episode 65/200 | reward = -0.574 | steps = 1 | stuck
episode 66/200 | reward = 218.050 | steps = 53 | goal_reached
episode 67/200 | reward = 168.777 | steps = 23 | goal_reached
episode 68/200 | reward = 243.989 | steps = 33 | goal_reached
episode 69/200 | reward = 257.061 | steps = 42 | goal_reached
episode 70/200 | reward = 175.820 | steps = 34 | goal_reached
episode 71/200 | reward = 178.450 | steps = 23 | goal_reached
episode 72/200 | reward = 218.135 | steps = 53 | goal_reached
episode 73/200 | reward = 249.094 | steps = 46 | goal_reached
episode 74/200 | reward = 171.979 | steps = 27 | goal_reached
episode 75/200 | reward = 279.275 | steps = 60 | goal_reached
episode 76/200 | reward = 235.257 | steps = 41 | goal_reached
episode 77/200 | reward = 196.387 | steps = 53 | goal_reached
episode 78/200 | reward = -76.950 | steps = 95 | timeout
episode 79/200 | reward = -0.660 | steps = 1 | stuck
episode 80/200 | reward = 310.544 | steps = 57 | goal_reached
episode 81/200 | reward = 234.896 | steps = 42 | goal_reached
episode 82/200 | reward = 168.374 | steps = 24 | goal_reached
episode 83/200 | reward = 233.033 | steps = 43 | goal_reached
episode 84/200 | reward = 224.399 | steps = 44 | goal_reached
episode 85/200 | reward = 243.916 | steps = 33 | goal_reached
episode 86/200 | reward = 244.005 | steps = 35 | goal_reached
episode 87/200 | reward = 178.547 | steps = 23 | goal_reached
episode 88/200 | reward = 237.329 | steps = 39 | goal_reached
episode 89/200 | reward = 219.408 | steps = 40 | goal_reached
episode 90/200 | reward = 196.162 | steps = 53 | goal_reached
episode 91/200 | reward = 263.857 | steps = 47 | goal_reached
